model_name,case,initial_travel_time,optimum_travel_time,recovery_time,initial_drop
dqn,robust_morning_1,164.2,152.4,1,7.19
colight,robust_morning_1,169.9,159.5,1,6.12
mplight,robust_morning_1,186.2,178.5,1,4.14
dqn,robust_morning_2,214.1,175.6,5,17.98
colight,robust_morning_2,196.7,178.8,7,9.1
mplight,robust_morning_2,263.2,212.3,9,19.34
dqn,robust_morning_3,153.2,141.8,1,7.44
colight,robust_morning_3,160.0,148.2,1,7.38
mplight,robust_morning_3,165.1,157.4,1,4.66
dqn,robust_morning_4,261.9,219.3,10,16.27
colight,robust_morning_4,253.2,222.9,7,11.97
mplight,robust_morning_4,368.3,265.5,19,27.91
dqn,robust_morning_5,387.3,272.8,19,29.56
colight,robust_morning_5,360.5,320.8,8,11.01
mplight,robust_morning_5,527.5,378.0,16,28.34
dqn,robust_evening_1,186.1,156.3,7,16.01
colight,robust_evening_1,167.9,158.0,1,5.9
mplight,robust_evening_1,181.5,177.5,1,2.2
dqn,robust_pse_1,205.2,186.5,4,9.11
colight,robust_pse_1,190.8,190.2,1,0.31
mplight,robust_pse_1,239.3,213.2,4,10.91
dqn,robust_sensor,279.3,179.1,16,35.88
colight,robust_sensor,199.5,178.3,4,10.63
mplight,robust_sensor,251.5,201.3,4,19.96
